image_path,prompt,attractiveness,clip_score,aesthetic,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\43_unattractive.jpg,a portrait photo of a face,0.0,30.646785736083984,6.1197509765625,1.3543519973754883,21.224668502807617,0.299560546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\44_attractive.jpg,a portrait photo of a face,2.0,28.772275924682617,6.143699645996094,1.2358428239822388,22.475543975830078,0.3212890625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\44_normal.jpg,a portrait photo of a face,1.0,29.75565528869629,6.239419937133789,1.488861083984375,22.080963134765625,0.329345703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\44_unattractive.jpg,a portrait photo of a face,0.0,27.862926483154297,6.388561725616455,1.6057771444320679,19.87039566040039,0.293701171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\45_attractive.jpg,a portrait photo of a face,2.0,26.393238067626953,6.212212085723877,0.8999910354614258,21.990375518798828,0.318603515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\45_normal.jpg,a portrait photo of a face,1.0,28.071006774902344,6.220643997192383,1.4175387620925903,22.47292709350586,0.310791015625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\45_unattractive.jpg,a portrait photo of a face,0.0,29.75434112548828,5.590545654296875,1.411863923072815,21.96086311340332,0.303466796875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\46_attractive.jpg,a portrait photo of a face,2.0,28.527069091796875,6.264850616455078,1.3047115802764893,22.706789016723633,0.31884765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\46_normal.jpg,a portrait photo of a face,1.0,29.894866943359375,6.044694900512695,1.5561922788619995,22.95374298095703,0.330322265625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\46_unattractive.jpg,a portrait photo of a face,0.0,31.436216354370117,5.899704456329346,1.613792896270752,22.070505142211914,0.30908203125
